n,block_size,iteration,kernel_ms,total_ms,correct
2048,512,68,0.004256,0.024576,PASS
2048,512,69,0.004928,0.023744,PASS
2048,512,70,0.004096,0.025473,PASS
2048,512,71,0.006048,0.023648,PASS
2048,512,72,0.006304,0.024224,PASS
2048,512,73,0.005536,0.023552,PASS
2048,512,74,0.004448,0.025632,PASS
2048,512,75,0.004928,0.024417,PASS
2048,512,76,0.005728,0.023872,PASS
2048,512,77,0.003904,0.025344,PASS
2048,512,78,0.005504,0.0256,PASS
2048,512,79,0.004384,0.02448,PASS
2048,512,80,0.005888,0.027553,PASS
2048,512,81,0.004608,0.023712,PASS
2048,512,82,0.004576,0.02464,PASS
2048,512,83,0.0048,0.024352,PASS
2048,512,84,0.0056,0.025536,PASS
2048,512,85,0.004064,0.023521,PASS
2048,512,86,0.006208,0.023904,PASS
2048,512,87,0.005792,0.025312,PASS
2048,512,88,0.005952,0.02352,PASS
2048,512,89,0.00432,0.023424,PASS
2048,512,90,0.004416,0.023488,PASS
2048,512,91,0.005952,0.023137,PASS
2048,512,92,0.005472,0.024992,PASS
2048,512,93,0.00576,0.02352,PASS
2048,512,94,0.004416,0.024448,PASS
2048,512,95,0.005568,0.023584,PASS
2048,512,96,0.005568,0.025473,PASS
2048,512,97,0.005568,0.025472,PASS
2048,512,98,0.006176,0.023552,PASS
2048,512,99,0.006336,0.02368,PASS
4096,128,0,0.006528,0.037888,PASS
4096,128,1,0.005504,0.024288,PASS
4096,128,2,0.005664,0.022241,PASS
4096,128,3,0.005536,0.022528,PASS
4096,128,4,0.005888,0.022848,PASS
4096,128,5,0.004416,0.023392,PASS
4096,128,6,0.006528,0.022656,PASS
4096,128,7,0.005728,0.02336,PASS
4096,128,8,0.006432,0.024321,PASS
4096,128,9,0.004416,0.024736,PASS
4096,128,10,0.004224,0.02384,PASS
4096,128,11,0.004192,0.028192,PASS
4096,128,12,0.004352,0.023456,PASS
4096,128,13,0.004288,0.022657,PASS
4096,128,14,0.004288,0.024352,PASS
4096,128,15,0.005568,0.02256,PASS
4096,128,16,0.005472,0.023552,PASS
4096,128,17,0.005888,0.024256,PASS
4096,128,18,0.00576,0.022752,PASS
4096,128,19,0.006624,0.023585,PASS
4096,128,20,0.005632,0.022528,PASS
4096,128,21,0.004416,0.022496,PASS
4096,128,22,0.005696,0.024704,PASS
4096,128,23,0.005536,0.02432,PASS
4096,128,24,0.00432,0.023201,PASS
