n,block_size,iteration,kernel_ms,total_ms,correct
2048,256,86,0.004384,0.023552,PASS
2048,256,87,0.005728,0.023648,PASS
2048,256,88,0.005536,0.024448,PASS
2048,256,89,0.005728,0.025344,PASS
2048,256,90,0.004416,0.028481,PASS
2048,256,91,0.005568,0.02496,PASS
2048,256,92,0.004352,0.024288,PASS
2048,256,93,0.005664,0.02384,PASS
2048,256,94,0.004704,0.023488,PASS
2048,256,95,0.004832,0.024289,PASS
2048,256,96,0.004512,0.02464,PASS
2048,256,97,0.004864,0.02544,PASS
2048,256,98,0.004416,0.023968,PASS
2048,256,99,0.005952,0.023264,PASS
2048,512,0,0.00512,0.046784,PASS
2048,512,1,0.00448,0.024352,PASS
2048,512,2,0.004384,0.023457,PASS
2048,512,3,0.004288,0.02336,PASS
2048,512,4,0.005696,0.023776,PASS
2048,512,5,0.004448,0.023424,PASS
2048,512,6,0.00432,0.02448,PASS
2048,512,7,0.005888,0.023649,PASS
2048,512,8,0.004224,0.025504,PASS
2048,512,9,0.005632,0.024448,PASS
2048,512,10,0.003968,0.025504,PASS
2048,512,11,0.005632,0.02368,PASS
2048,512,12,0.004288,0.024672,PASS
2048,512,13,0.00496,0.023681,PASS
2048,512,14,0.004288,0.023392,PASS
2048,512,15,0.004352,0.023296,PASS
2048,512,16,0.003904,0.024384,PASS
2048,512,17,0.004416,0.023968,PASS
2048,512,18,0.004416,0.024321,PASS
2048,512,19,0.004448,0.023424,PASS
2048,512,20,0.004288,0.023776,PASS
2048,512,21,0.004384,0.02336,PASS
2048,512,22,0.004416,0.023552,PASS
2048,512,23,0.00448,0.024257,PASS
2048,512,24,0.00432,0.029056,PASS
2048,512,25,0.004128,0.023008,PASS
2048,512,26,0.004672,0.024896,PASS
2048,512,27,0.005504,0.023488,PASS
2048,512,28,0.004288,0.024385,PASS
2048,512,29,0.006176,0.02368,PASS
2048,512,30,0.006176,0.023488,PASS
2048,512,31,0.004736,0.023424,PASS
2048,512,32,0.004064,0.02336,PASS
2048,512,33,0.0048,0.025568,PASS
2048,512,34,0.004448,0.024417,PASS
2048,512,35,0.005824,0.023904,PASS
2048,512,36,0.00448,0.024608,PASS
2048,512,37,0.006016,0.023456,PASS
2048,512,38,0.006496,0.023488,PASS
2048,512,39,0.004256,0.021761,PASS
2048,512,40,0.00416,0.02176,PASS
2048,512,41,0.004256,0.022272,PASS
2048,512,42,0.004544,0.021696,PASS
2048,512,43,0.005536,0.024352,PASS
2048,512,44,0.005536,0.022592,PASS
2048,512,45,0.004224,0.023137,PASS
2048,512,46,0.00432,0.022688,PASS
2048,512,47,0.004384,0.022432,PASS
2048,512,48,0.004128,0.022496,PASS
2048,512,49,0.005824,0.022496,PASS
2048,512,50,0.004224,0.02176,PASS
2048,512,51,0.004128,0.022305,PASS
2048,512,52,0.00448,0.02336,PASS
2048,512,53,0.005664,0.021568,PASS
2048,512,54,0.00512,0.022592,PASS
2048,512,55,0.0056,0.022304,PASS
2048,512,56,0.004512,0.022721,PASS
2048,512,57,0.005632,0.022304,PASS
2048,512,58,0.005536,0.022656,PASS
2048,512,59,0.004576,0.02144,PASS
2048,512,60,0.004288,0.022368,PASS
2048,512,61,0.004736,0.021536,PASS
2048,512,62,0.004288,0.022433,PASS
2048,512,63,0.005888,0.023648,PASS
2048,512,64,0.005568,0.023456,PASS
2048,512,65,0.005888,0.022464,PASS
2048,512,66,0.0056,0.023424,PASS
2048,512,67,0.00448,0.028864,PASS
2048,512,68,0.004384,0.022305,PASS
2048,512,69,0.006464,0.02256,PASS
2048,512,70,0.00576,0.022688,PASS
2048,512,71,0.006656,0.022432,PASS
2048,512,72,0.004832,0.023456,PASS
2048,512,73,0.004288,0.022593,PASS
2048,512,74,0.004736,0.023552,PASS
2048,512,75,0.004384,0.024384,PASS
2048,512,76,0.005824,0.0224,PASS
2048,512,77,0.004896,0.022976,PASS
2048,512,78,0.00432,0.022208,PASS
2048,512,79,0.00624,0.022561,PASS
2048,512,80,0.003968,0.022656,PASS
2048,512,81,0.004096,0.023296,PASS
2048,512,82,0.004288,0.024448,PASS
2048,512,83,0.004832,0.022464,PASS
2048,512,84,0.00448,0.023713,PASS
2048,512,85,0.004832,0.022336,PASS
2048,512,86,0.005568,0.022496,PASS
2048,512,87,0.004448,0.022464,PASS
2048,512,88,0.00576,0.022592,PASS
2048,512,89,0.0048,0.024032,PASS
2048,512,90,0.004064,0.023713,PASS
2048,512,91,0.004064,0.024224,PASS
2048,512,92,0.005568,0.023744,PASS
2048,512,93,0.004864,0.025312,PASS
2048,512,94,0.005536,0.02224,PASS
2048,512,95,0.004896,0.023873,PASS
2048,512,96,0.003936,0.022592,PASS
2048,512,97,0.00592,0.024544,PASS
2048,512,98,0.003936,0.023712,PASS
2048,512,99,0.00432,0.024352,PASS
4096,128,0,0.0072,0.044032,PASS
4096,128,1,0.005696,0.024224,PASS
4096,128,2,0.004256,0.024544,PASS
4096,128,3,0.00432,0.024513,PASS
4096,128,4,0.00432,0.024192,PASS
4096,128,5,0.005984,0.02384,PASS
4096,128,6,0.006112,0.024352,PASS
4096,128,7,0.00576,0.02352,PASS
4096,128,8,0.00416,0.024673,PASS
4096,128,9,0.004512,0.024512,PASS
4096,128,10,0.006144,0.024576,PASS
4096,128,11,0.0056,0.0256,PASS
4096,128,12,0.005664,0.023616,PASS
4096,128,13,0.006176,0.024128,PASS
4096,128,14,0.006144,0.023649,PASS
4096,128,15,0.004448,0.023488,PASS
4096,128,16,0.00448,0.02384,PASS
4096,128,17,0.004416,0.02624,PASS
4096,128,18,0.005792,0.023744,PASS
4096,128,19,0.004416,0.024385,PASS
4096,128,20,0.005696,0.024768,PASS
4096,128,21,0.006208,0.025504,PASS
4096,128,22,0.004512,0.025472,PASS
4096,128,23,0.005568,0.02368,PASS
4096,128,24,0.004352,0.023553,PASS
4096,128,25,0.014944,0.02432,PASS
4096,128,26,0.005792,0.024768,PASS
4096,128,27,0.005664,0.02544,PASS
